doc_label,doc_content
doyle-0-27,cup tea last decent cup tea many days room soothingly looked would expect lady 's drawing room look long quiet chat fireside
doyle-0-27,course confidences became quite plain represented wife high dignitary goodness knows many people besides exceptional gifted creature piece good fortune company man n't get hold every day
doyle-0-27,good heavens
doyle-0-27,going take charge two penny half penny river steamboat penny whistle attached
doyle-0-27,appeared however also one workers capital know
doyle-0-27,something like emissary light something like lower sort apostle
doyle-0-27,lot rot let loose print talk time excellent woman living right rush humbug got carried feet
doyle-0-27,talked 'weaning ignorant millions horrid ways till upon word made quite uncomfortable
doyle-0-27,ventured hint company run profit
doyle-0-28,'you forget dear charlie labourer worthy hire brightly
doyle-0-28,'s queer touch truth women
doyle-0-28,live world never anything like never
doyle-0-28,beautiful altogether set would go pieces first sunset
doyle-0-28,confounded fact men living contentedly ever since day creation would start knock whole thing
doyle-0-29,got embraced told wear flannel sure write often left
doyle-0-29,street n't know queer feeling came imposter
doyle-0-29,odd thing used clear part world twenty four hours notice less thought men give crossing street moment wo n't say hesitation startled pause commonplace affair
doyle-0-29,best way explain saying second two felt though instead going centre continent set centre earth
doyle-0-30,left french steamer called every blamed port far could see sole purpose landing soldiers custom house officers
doyle-0-30,watched coast
doyle-0-30,watching coast slips ship like thinking enigma
doyle-0-30,smiling frowning inviting grand mean insipid savage always mute air whispering 'come find
doyle-0-30,one almost featureless still making aspect monotonous grimness
doyle-0-30,edge colossal jungle dark green almost black fringed white surf ran straight like ruled line far far away along blue sea whose glitter blurred creeping mist
doyle-0-30,sun fierce land seemed glisten drip steam
doyle-0-30,greyish whitish specks showed clustered inside white surf flag flying perhaps
doyle-0-30,settlements centuries old still bigger pinheads untouched expanse background
doyle-0-30,pounded along stopped landed soldiers went landed custom house clerks levy toll looked like god forsaken wilderness tin shed flag pole lost landed soldiers take care custom house clerks presumably
doyle-0-30,heard got drowned surf whether nobody seemed particularly care
doyle-0-30,flung went
doyle-0-30,every day coast looked though moved passed various places trading places names like gran bassam little popo names seemed belong sordid farce acted front sinister back cloth
doyle-0-30,idleness passenger isolation amongst men point contact oily languid sea uniform sombreness coast seemed keep away truth things within toil mournful senseless delusion
doyle-0-30,voice surf heard positive pleasure like speech brother
doyle-0-30,something natural reason meaning
doyle-0-30,boat shore gave one momentary contact reality
doyle-0-30,paddled black fellows
doyle-0-30,could see afar white eyeballs glistening
doyle-0-30,shouted sang bodies streamed perspiration faces like grotesque masks chaps bone muscle wild vitality intense energy movement natural true surf along coast
doyle-0-30,wanted excuse
doyle-0-30,great comfort look
doyle-0-30,time would feel belonged still world straightforward facts feeling would last long
doyle-0-30,something would turn scare away
doyle-0-30,remember came upon man war anchored coast
doyle-0-30,n't even shed shelling bush
doyle-0-30,appears french one wars going thereabouts
doyle-0-30,ensign dropped limp like rag muzzles long six inch guns stuck low hull greasy slimy swell swung lazily let swaying thin masts
doyle-0-30,empty immensity earth sky water incomprehensible firing continent
doyle-0-30,pop would go one six inch guns small flame would dart vanish little white smoke would disappear tiny projectile would give feeble screech nothing happened
doyle-0-30,nothing could happen
doyle-0-30,touch insanity proceeding sense lugubrious drollery sight dissipated somebody board assuring earnestly camp natives called enemies
doyle-0-30,hidden sight somewhere
doyle-0-31,gave letters heard men lonely ship dying fever rate three day went
doyle-0-31,called places farcical names merry dance death trade goes still earthy atmosphere overheated catacomb along formless coast bordered dangerous surf nature tried ward intruders rivers streams death life whose banks rotting mud whose waters thickened slime invaded contorted mangroves seemed writhe us extremity impotent despair
doyle-0-31,nowhere stop long enough get particularized impression general sense vague oppressive wonder grew upon
doyle-0-31,like weary pilgrimage amongst hints nightmares
doyle-0-32,upward thirty days saw mouth big river
doyle-0-32,anchored seat government
doyle-0-32,work would begin till two hundred miles farther
doyle-0-32,soon could made start place thirty miles higher
doyle-0-33,passage little sea going steamer
doyle-0-33,captain swede knowing seaman invited bridge
doyle-0-33,young man lean fair morose lanky hair shuffling gait
doyle-0-33,left miserable little wharf tossed head contemptuously shore
