doc_label,doc_content
doyle-2-4,halting steps paced streets passed sign crossed harpoons looked expensive jolly
doyle-2-4,bright red windows sword fish inn came rays seemed melted packed snow ice house everywhere else congealed frost lay ten inches thick hard rather weary struck foot hard remorseless service boots miserable plight
doyle-2-4,expensive jolly thought pausing one moment watch broad glare street hear sounds glasses within
doyle-2-4,go ishmael last hear
doyle-2-4,get away door patched boots stopping way
doyle-2-4,went
doyle-2-4,instinct followed streets took waterward doubtless inns
doyle-2-5,dreary streets
doyle-2-5,blocks blackness houses either hand candle like candle moving tomb
doyle-2-5,hour night last day week quarter town proved deserted
doyle-2-5,presently came smoky light proceeding low wide building door stood open
doyle-2-5,careless look meant uses public entering first thing stumble ash box porch
doyle-2-5,ha
doyle-2-5,thought ha flying almost choked ashes destroyed city gomorrah
doyle-2-5,crossed harpoons sword fish must needs sign trap however picked hearing loud voice within pushed opened second interior door
doyle-2-6,seemed great black parliament sitting tophet
doyle-2-6,hundred black faces turned round rows beyond black angel doom beating book pulpit
doyle-2-6,negro church preacher text blackness darkness weeping teeth
doyle-2-6,ha ishmael muttered backing wretched sign trap
doyle-2-7,moving last came dim sort light far docks heard forlorn creaking air looking saw swinging sign door white painting upon faintly representing tall straight jet misty spray words underneath spouter inn peter coffin
doyle-2-8,coffin
doyle-2-8,spouter
doyle-2-8,rather ominous particular connexion thought
doyle-2-8,common name nantucket say suppose peter
doyle-2-8,light looked dim place time looked quiet enough dilapidated little wooden house looked might carted ruins burnt district swinging sign stricken sort thought spot best pea coffee
doyle-2-9,queer sort place gable ended old house one side palsied leaning sadly
doyle-2-9,stood sharp bleak corner tempestuous wind euroclydon kept worse howling ever poor paul tossed craft
doyle-2-9,euroclydon nevertheless mighty pleasant one doors feet quietly bed
doyle-2-9,judging tempestuous wind called euroclydon says old writer whose works possess copy extant maketh marvellous difference whether thou lookest glass window frost outside whether thou window frost sides wight death true enough thought passage occurred mind old black letter thou well
doyle-2-9,yes eyes windows body mine house
doyle-2-9,pity stop though thrust little
doyle-2-9,late make
doyle-2-9,universe finished chips carted million years ago
doyle-2-9,poor lazarus teeth curbstone pillow shaking might plug ears rags put corn mouth yet would keep tempestuous euroclydon
doyle-2-9,euroclydon
doyle-2-9,says old dives red silken wrapper one afterwards pooh pooh
doyle-2-9,fine frosty night northern lights
doyle-2-9,let talk oriental summer climes everlasting give privilege making summer coals
doyle-2-10,thinks lazarus
doyle-2-10,warm blue hands holding grand northern lights
doyle-2-10,would lazarus rather sumatra
doyle-2-10,would far rather lay lengthwise along line equator yea ye gods
doyle-2-10,go fiery pit order keep frost
doyle-2-11,lazarus lie stranded curbstone door dives wonderful iceberg moored one moluccas
doyle-2-11,yet dives lives like czar ice palace made frozen sighs temperance society drinks tepid tears orphans
doyle-2-12,going whaling plenty yet come
doyle-2-12,let us scrape ice frosted feet see sort place spouter may
doyle-3-0,spouter inn
doyle-3-1,entering gable ended spouter inn found wide low entry old fashioned one bulwarks condemned old craft
doyle-3-1,one side hung large every way viewed diligent study series visits careful inquiry could way arrive understanding purpose
doyle-3-1,unaccountable masses shades shadows first almost thought ambitious young artist time new england endeavored chaos
doyle-3-1,dint much earnest repeated especially throwing open little window towards back entry last come conclusion idea however wild might altogether unwarranted
doyle-3-2,puzzled confounded long limber portentous black mass something hovering centre picture three blue dim perpendicular lines floating nameless
doyle-3-2,picture truly enough drive nervous man
doyle-3-2,yet sort indefinite half attained unimaginable fairly till involuntarily took oath find marvellous painting meant
doyle-3-2,ever anon bright alas idea would dart
doyle-3-2,black sea midnight gale
doyle-3-2,unnatural four primal elements
doyle-3-2,blasted
doyle-3-2,hyperborean winter scene
doyle-3-2,breaking stream time
doyle-3-2,last fancies one portentous something picture midst
doyle-3-2,found rest plain
doyle-3-2,stop bear faint resemblance gigantic fish
doyle-3-2,even great leviathan
doyle-3-3,fact artist design seemed final theory partly upon many aged persons upon subject
doyle-3-3,picture cape great half ship three masts alone visible exasperated whale spring clean craft enormous act impaling upon three mast heads
doyle-3-4,opposite wall entry hung heathenish array monstrous spears
doyle-3-4,thickly set glittering teeth resembling ivory others tufted knots human hair one shaped vast handle sweeping round like made new grass long armed
doyle-3-4,shuddered gazed monstrous cannibal savage could ever gone death implement
doyle-3-4,mixed rusty old whaling lances harpoons broken
doyle-3-4,storied weapons
doyle-3-4,long lance wildly elbowed fifty years ago nathan kill fifteen whales sunrise sunset
doyle-3-4,harpoon like flung seas run away whale years afterwards slain cape
doyle-3-4,original iron entered nigh tail like restless needle body man full forty feet last found hump
doyle-3-5,crossing dusky entry yon low arched way cut old times must great central chimney round enter public room
doyle-3-5,still place low ponderous beams old wrinkled planks beneath would almost fancy trod old craft especially howling night corner anchored old ark rocked furiously
doyle-3-5,one side stood long low shelf like table covered cracked glass cases filled dusty gathered wide world remotest nooks
doyle-3-5,projecting angle room stands dark looking den bar rude attempt right whale head
doyle-3-5,may stands vast arched bone whale jaw wide coach might almost drive beneath
doyle-3-5,within ranged round old decanters bottles jaws swift destruction like another cursed jonah name indeed called little old man money dearly sailors death
doyle-3-6,abominable poison
doyle-3-6,though true without within green glasses downwards cheating bottom
doyle-3-6,parallel meridians rudely glass goblets
doyle-3-6,fill mark charge penny penny full glass cape horn measure may
doyle-3-7,upon entering place found number young seamen gathered table dim light divers specimens skrimshander
doyle-3-7,sought landlord telling desired room received answer house full bed
doyle-3-7,avast added tapping forehead sharing harpooneer blanket ye
doyle-3-7,goin better get used sort thing
doyle-3-8,told never liked sleep two bed ever would depend upon harpooneer might landlord really place harpooneer rather strange town bitter night would put half decent man blanket
doyle-3-9,thought
doyle-3-9,right take seat
doyle-3-9,supper
doyle-3-9,want supper
doyle-3-9,supper ready directly
doyle-3-10,sat old wooden settle carved like bench battery
doyle-3-10,one end tar still jack knife stooping diligently working away space legs
doyle-3-10,trying hand ship full sail make much headway thought
doyle-3-11,last four five us room
doyle-3-11,cold iceland fire landlord afford
doyle-3-11,nothing two dismal tallow candles winding sheet
doyle-3-11,fain button monkey jackets hold lips cups scalding tea half frozen fingers
doyle-3-11,fare substantial kind meat dumplings good heavens
doyle-3-11,dumplings supper
doyle-3-11,one young fellow green box coat addressed dumplings direful manner
doyle-3-12,boy landlord dead
doyle-3-13,landlord whispered aint harpooneer
doyle-3-14,oh looking sort funny harpooneer dark chap
doyle-3-14,never eats dumplings eats nothing likes em rare
doyle-3-15,devil says
doyle-3-15,harpooneer
doyle-3-16,afore long answer
doyle-3-17,could help began feel suspicious dark harpooneer
doyle-3-17,rate made mind turned sleep together must get bed
doyle-3-18,supper company went back bar room knowing else resolved spend rest evening
doyle-3-19,presently noise heard without
doyle-3-19,starting landlord cried crew
doyle-3-19,seed reported offing morning three years voyage full ship
doyle-3-19,hurrah boys news
doyle-3-20,sea boots heard entry door flung open rolled wild set mariners enough
doyle-3-20,enveloped shaggy watch coats heads muffled woollen ragged beards stiff seemed bears labrador
doyle-3-20,landed boat first house entered
doyle-3-20,wonder made straight wake whale mouth bar wrinkled little old jonah soon poured round
doyle-3-20,one bad cold head upon jonah mixed pitch like gin swore sovereign cure whatsoever never mind long standing whether caught coast labrador weather side ice island
doyle-3-21,soon mounted heads generally even newly landed sea began
doyle-3-22,observed however one held somewhat though seemed spoil shipmates sober face yet upon whole refrained making much noise rest
doyle-3-22,man since sea gods ordained soon become shipmate though sleeping one far narrative concerned venture upon little description
doyle-3-22,stood full six feet height noble shoulders chest like dam
doyle-3-22,seldom seen man
doyle-3-22,face deeply brown burnt making white teeth contrast deep shadows eyes floated reminiscences seem give much joy
doyle-3-22,voice announced fine thought must one tall ridge virginia
doyle-3-22,revelry companions mounted height man slipped away unobserved saw till became comrade sea
