doc_label,doc_content
doyle-3-65,anywhere else go glad leave never get away gateshead till woman
doyle-3-66,perhaps may knows
doyle-3-66,relations besides mrs
doyle-3-66,reed
doyle-3-67,think sir
doyle-3-68,none belonging father
doyle-3-69,n't know
doyle-3-69,asked aunt reed possibly might poor low relations called eyre knew nothing
doyle-3-70,go
doyle-3-71,reflected
doyle-3-71,poverty looks grim grown people still children much idea industrious working respectable poverty think word connected ragged clothes scanty food fireless grates rude manners debasing vices poverty synonymous degradation
doyle-3-72,belong poor people reply
doyle-3-73,even kind
doyle-3-74,shook head poor people means kind learn speak adopt manners uneducated grow poor women saw sometimes nursing children washing clothes cottage doors village gateshead heroic enough purchase liberty price caste
doyle-3-75,relatives poor
doyle-3-75,working people
doyle-3-76,tell aunt reed says must beggarly set go begging
doyle-3-77,go school
doyle-3-78,reflected scarcely knew school bessie sometimes spoke place young ladies sat stocks wore backboards expected exceedingly genteel precise john reed hated school abused master john reed 's tastes rule mine bessie 's accounts school discipline gathered young ladies family lived coming gateshead somewhat appalling details certain accomplishments attained young ladies thought equally attractive
doyle-3-78,boasted beautiful paintings landscapes flowers executed songs sing pieces play purses net french books translate till spirit moved emulation listened
doyle-3-78,besides school complete change implied long journey entire separation gateshead entrance new life
doyle-3-79,indeed go school audible conclusion musings
doyle-3-80,well well
doyle-3-80,knows may happen
doyle-3-80,lloyd got
doyle-3-80,child ought change air scene added speaking nerves good state
doyle-3-81,bessie returned moment carriage heard rolling gravel walk
doyle-3-82,mistress nurse
doyle-3-82,asked lloyd
doyle-3-82,speak go
doyle-3-83,bessie invited walk breakfast room led way
doyle-3-83,interview followed mrs reed presume occurrences apothecary ventured recommend sent school recommendation doubt readily enough adopted abbot discussing subject bessie sat sewing nursery night bed thought asleep missis dared say glad enough get rid tiresome ill conditioned child always looked watching everybody scheming plots underhand
doyle-3-83,abbot think gave credit sort infantine guy fawkes
doyle-3-84,occasion learned first miss abbot 's communications bessie father poor clergyman mother married wishes friends considered match beneath grandfather reed irritated disobedience cut without shilling mother father married year latter caught typhus fever visiting among poor large manufacturing town curacy situated disease prevalent mother took infection died within month
doyle-3-85,bessie heard narrative sighed poor miss jane pitied abbot
doyle-3-86,yes responded abbot nice pretty child might compassionate forlornness really care little toad
doyle-3-87,great deal sure agreed bessie rate beauty miss georgiana moving condition
doyle-3-88,yes doat miss georgiana
doyle-3-88,cried fervent abbot
doyle-3-88,little darling
doyle-3-88,long curls blue eyes sweet colour painted
doyle-3-88,bessie fancy welsh rabbit supper
doyle-3-89,roast onion
doyle-3-89,come 'll go
doyle-3-89,went
doyle-4-1,discourse lloyd reported conference bessie abbot gathered enough hope suffice motive wishing get well change seemed near desired waited silence
doyle-4-1,however days weeks passed regained state health new allusion made subject
doyle-4-1,mrs reed surveyed times severe eye seldom addressed since illness drawn marked line separation ever children small closet sleep take meals alone pass nursery cousins drawing room
doyle-4-1,hint however drop school still felt certainty long endure roof glance ever turned expressed insuperable rooted aversion
doyle-4-2,eliza georgiana evidently acting according orders spoke little possible john thrust tongue cheek whenever saw attempted chastisement instantly turned roused sentiment deep ire desperate revolt stirred thought better desist ran burst nose
doyle-4-2,indeed prominent feature hard blow knuckles inflict saw either look greatest inclination follow advantage purpose already mama
doyle-4-2,heard tone commence tale jane eyre flown mad cat stopped rather harshly
doyle-4-3,n't talk john told go near worthy notice choose either sisters associate
doyle-4-4,leaning cried suddenly without words
doyle-4-5,fit associate
doyle-4-6,mrs reed rather stout woman hearing strange declaration ran stair swept nursery crushing edge crib dared emphatic voice rise place utter syllable remainder
doyle-4-7,uncle reed say alive
doyle-4-7,scarcely voluntary demand
doyle-4-7,say scarcely voluntary seemed tongue pronounced words without utterance something spoke control
doyle-4-8,mrs reed breath usually cold composed grey eye became troubled look fear took arm gazed really know whether child fiend
doyle-4-9,uncle reed heaven think papa mama know shut long wish dead
doyle-4-10,mrs reed soon rallied spirits shook soundly ears left without word
